PROJECT,TRAINING-RELEASES,TEST-RELEASE,CLASSIFIER,FEATURE-SELECTION,BALANCING,COST-SENSITIVE,%-TRAINING,PRECISION,RECALL,AUC,KAPPA,ACCURACY,TRUE-NEGATIVE,TRUE-POSITIVE,FALSE-POSITIVE,FALSE-NEGATIVE
BOOKKEEPER," 4.0.0",4.1.0,IBK,NO_FEATURE_SELECTION,NO_BALANCING,NO_COST_SENSITIVE,44.44444444444444,0.0,0.0,0.5079365079365079,0.0,57.27272727272727,126.0,0.0,0.0,94.0
BOOKKEEPER," 4.0.0",4.1.0,IBK,NO_FEATURE_SELECTION,NO_BALANCING,SENSITIVE_LEARNING,44.44444444444444,0.0,0.0,0.5079365079365079,0.0,57.27272727272727,126.0,0.0,0.0,94.0
BOOKKEEPER," 4.0.0",4.1.0,IBK,NO_FEATURE_SELECTION,NO_BALANCING,SENSITIVE_THRESHOLD,44.44444444444444,0.0,0.0,0.5,0.0,57.27272727272727,126.0,0.0,0.0,94.0
BOOKKEEPER," 4.0.0",4.1.0,IBK,NO_FEATURE_SELECTION,OVERSAMPLING,NO_COST_SENSITIVE,61.53846153846154,0.0,0.0,0.4745440729483283,0.0,57.27272727272727,126.0,0.0,0.0,94.0
BOOKKEEPER," 4.0.0",4.1.0,IBK,NO_FEATURE_SELECTION,OVERSAMPLING,SENSITIVE_LEARNING,61.53846153846154,0.0,0.0,0.4745440729483283,0.0,57.27272727272727,126.0,0.0,0.0,94.0
BOOKKEEPER," 4.0.0",4.1.0,IBK,NO_FEATURE_SELECTION,OVERSAMPLING,SENSITIVE_THRESHOLD,61.53846153846154,0.0,0.0,0.5,0.0,57.27272727272727,126.0,0.0,0.0,94.0
BOOKKEEPER," 4.0.0",4.1.0,IBK,NO_FEATURE_SELECTION,UNDERSAMPLING,NO_COST_SENSITIVE,44.44444444444444,0.0,0.0,0.5079365079365079,0.0,57.27272727272727,126.0,0.0,0.0,94.0
BOOKKEEPER," 4.0.0",4.1.0,IBK,NO_FEATURE_SELECTION,UNDERSAMPLING,SENSITIVE_LEARNING,44.44444444444444,0.0,0.0,0.5079365079365079,0.0,57.27272727272727,126.0,0.0,0.0,94.0
BOOKKEEPER," 4.0.0",4.1.0,IBK,NO_FEATURE_SELECTION,UNDERSAMPLING,SENSITIVE_THRESHOLD,44.44444444444444,0.0,0.0,0.5,0.0,57.27272727272727,126.0,0.0,0.0,94.0
BOOKKEEPER," 4.0.0",4.1.0,IBK,NO_FEATURE_SELECTION,SMOTE,NO_COST_SENSITIVE,61.53846153846154,0.0,0.0,0.5,0.0,57.27272727272727,126.0,0.0,0.0,94.0
BOOKKEEPER," 4.0.0",4.1.0,IBK,NO_FEATURE_SELECTION,SMOTE,SENSITIVE_LEARNING,61.53846153846154,0.0,0.0,0.5,0.0,57.27272727272727,126.0,0.0,0.0,94.0
BOOKKEEPER," 4.0.0",4.1.0,IBK,NO_FEATURE_SELECTION,SMOTE,SENSITIVE_THRESHOLD,61.53846153846154,0.0,0.0,0.5,0.0,57.27272727272727,126.0,0.0,0.0,94.0
BOOKKEEPER," 4.0.0",4.1.0,IBK,BEST_FIRST,NO_BALANCING,NO_COST_SENSITIVE,44.44444444444444,0.0,0.0,0.5079365079365079,0.0,57.27272727272727,126.0,0.0,0.0,94.0
BOOKKEEPER," 4.0.0",4.1.0,IBK,BEST_FIRST,NO_BALANCING,SENSITIVE_LEARNING,44.44444444444444,0.0,0.0,0.5079365079365079,0.0,57.27272727272727,126.0,0.0,0.0,94.0
BOOKKEEPER," 4.0.0",4.1.0,IBK,BEST_FIRST,NO_BALANCING,SENSITIVE_THRESHOLD,44.44444444444444,0.0,0.0,0.5,0.0,57.27272727272727,126.0,0.0,0.0,94.0
BOOKKEEPER," 4.0.0",4.1.0,IBK,BEST_FIRST,OVERSAMPLING,NO_COST_SENSITIVE,61.53846153846154,0.0,0.0,0.4745440729483283,0.0,57.27272727272727,126.0,0.0,0.0,94.0
BOOKKEEPER," 4.0.0",4.1.0,IBK,BEST_FIRST,OVERSAMPLING,SENSITIVE_LEARNING,61.53846153846154,0.0,0.0,0.4745440729483283,0.0,57.27272727272727,126.0,0.0,0.0,94.0
BOOKKEEPER," 4.0.0",4.1.0,IBK,BEST_FIRST,OVERSAMPLING,SENSITIVE_THRESHOLD,61.53846153846154,0.0,0.0,0.5,0.0,57.27272727272727,126.0,0.0,0.0,94.0
BOOKKEEPER," 4.0.0",4.1.0,IBK,BEST_FIRST,UNDERSAMPLING,NO_COST_SENSITIVE,44.44444444444444,0.0,0.0,0.5079365079365079,0.0,57.27272727272727,126.0,0.0,0.0,94.0
BOOKKEEPER," 4.0.0",4.1.0,IBK,BEST_FIRST,UNDERSAMPLING,SENSITIVE_LEARNING,44.44444444444444,0.0,0.0,0.5079365079365079,0.0,57.27272727272727,126.0,0.0,0.0,94.0
BOOKKEEPER," 4.0.0",4.1.0,IBK,BEST_FIRST,UNDERSAMPLING,SENSITIVE_THRESHOLD,44.44444444444444,0.0,0.0,0.5,0.0,57.27272727272727,126.0,0.0,0.0,94.0
BOOKKEEPER," 4.0.0",4.1.0,IBK,BEST_FIRST,SMOTE,NO_COST_SENSITIVE,61.53846153846154,0.0,0.0,0.5,0.0,57.27272727272727,126.0,0.0,0.0,94.0
