PROJECT,TRAINING-RELEASES,TEST-RELEASE,CLASSIFIER,FEATURE-SELECTION,BALANCING,COST-SENSITIVE,%-TRAINING,PRECISION,RECALL,AUC,KAPPA,ACCURACY,TRUE-NEGATIVE,TRUE-POSITIVE,FALSE-POSITIVE,FALSE-NEGATIVE
BOOKKEEPER," 4.0.0",4.1.0,NATIVE_BAYES,NO_FEATURE_SELECTION,NO_BALANCING,NO_COST_SENSITIVE,44.44444444444444,0.0,0.0,0.15780141843971632,0.0,57.27272727272727,126.0,0.0,0.0,94.0
BOOKKEEPER," 4.0.0",4.1.0,NATIVE_BAYES,NO_FEATURE_SELECTION,NO_BALANCING,SENSITIVE_LEARNING,44.44444444444444,0.0,0.0,0.15780141843971632,0.0,57.27272727272727,126.0,0.0,0.0,94.0
BOOKKEEPER," 4.0.0",4.1.0,NATIVE_BAYES,NO_FEATURE_SELECTION,NO_BALANCING,SENSITIVE_THRESHOLD,44.44444444444444,0.0,0.0,0.5,0.0,57.27272727272727,126.0,0.0,0.0,94.0
BOOKKEEPER," 4.0.0",4.1.0,NATIVE_BAYES,NO_FEATURE_SELECTION,OVERSAMPLING,NO_COST_SENSITIVE,61.53846153846154,0.0,0.0,0.16447146234380278,0.0,57.27272727272727,126.0,0.0,0.0,94.0
BOOKKEEPER," 4.0.0",4.1.0,NATIVE_BAYES,NO_FEATURE_SELECTION,OVERSAMPLING,SENSITIVE_LEARNING,61.53846153846154,0.0,0.0,0.16447146234380278,0.0,57.27272727272727,126.0,0.0,0.0,94.0
BOOKKEEPER," 4.0.0",4.1.0,NATIVE_BAYES,NO_FEATURE_SELECTION,OVERSAMPLING,SENSITIVE_THRESHOLD,61.53846153846154,0.0,0.0,0.5,0.0,57.27272727272727,126.0,0.0,0.0,94.0
BOOKKEEPER," 4.0.0",4.1.0,NATIVE_BAYES,NO_FEATURE_SELECTION,UNDERSAMPLING,NO_COST_SENSITIVE,44.44444444444444,0.0,0.0,0.15780141843971632,0.0,57.27272727272727,126.0,0.0,0.0,94.0
BOOKKEEPER," 4.0.0",4.1.0,NATIVE_BAYES,NO_FEATURE_SELECTION,UNDERSAMPLING,SENSITIVE_LEARNING,44.44444444444444,0.0,0.0,0.15780141843971632,0.0,57.27272727272727,126.0,0.0,0.0,94.0
BOOKKEEPER," 4.0.0",4.1.0,NATIVE_BAYES,NO_FEATURE_SELECTION,UNDERSAMPLING,SENSITIVE_THRESHOLD,44.44444444444444,0.0,0.0,0.5,0.0,57.27272727272727,126.0,0.0,0.0,94.0
BOOKKEEPER," 4.0.0",4.1.0,NATIVE_BAYES,NO_FEATURE_SELECTION,SMOTE,NO_COST_SENSITIVE,61.53846153846154,0.0,0.0,0.26165146909827763,0.0,57.27272727272727,126.0,0.0,0.0,94.0
